medida,data
0.06,16/09/2023 15:11:02
0.07,16/09/2023 15:11:03
0.07,16/09/2023 15:11:03
0.07,16/09/2023 15:11:04
0.07,16/09/2023 15:11:04
0.07,16/09/2023 15:11:05
0.07,16/09/2023 15:11:05
0.07,16/09/2023 15:11:06
0.07,16/09/2023 15:11:07
0.07,16/09/2023 15:11:08
0.07,16/09/2023 15:11:10
0.07,16/09/2023 15:11:11
0.07,16/09/2023 15:11:12
0.07,16/09/2023 15:11:13
0.07,16/09/2023 15:11:13
0.07,16/09/2023 15:11:14
0.07,16/09/2023 15:11:14
0.07,16/09/2023 15:11:15
0.07,16/09/2023 15:11:15
0.07,16/09/2023 15:11:16
0.07,16/09/2023 15:11:16
0.07,16/09/2023 15:11:17
0.07,16/09/2023 15:11:17
0.07,16/09/2023 15:11:18
0.07,16/09/2023 15:11:18
0.07,16/09/2023 15:11:19
0.07,16/09/2023 15:11:19
0.07,16/09/2023 15:11:20
0.07,16/09/2023 15:11:20
0.07,16/09/2023 15:11:21
0.07,16/09/2023 15:11:21
0.07,16/09/2023 15:11:22
0.07,16/09/2023 15:11:22
0.07,16/09/2023 15:11:23
0.07,16/09/2023 15:11:23
0.07,16/09/2023 15:11:24
0.07,16/09/2023 15:11:24
0.08,16/09/2023 15:11:25
0.08,16/09/2023 15:11:25
0.07,16/09/2023 15:11:26
0.07,16/09/2023 15:11:26
0.07,16/09/2023 15:11:27
0.07,16/09/2023 15:11:27
0.08,16/09/2023 15:11:28
0.08,16/09/2023 15:11:28
0.07,16/09/2023 15:11:29
0.07,16/09/2023 15:11:29
0.08,16/09/2023 15:11:30
0.08,16/09/2023 15:11:30
0.08,16/09/2023 15:11:31
0.08,16/09/2023 15:11:31
0.08,16/09/2023 15:11:32
0.08,16/09/2023 15:11:32
0.07,16/09/2023 15:11:33
0.07,16/09/2023 15:11:33
0.08,16/09/2023 15:11:34
0.08,16/09/2023 15:11:34
0.08,16/09/2023 15:11:36
0.08,16/09/2023 15:11:36
0.08,16/09/2023 15:11:37
0.08,16/09/2023 15:11:37
0.08,16/09/2023 15:11:38
0.08,16/09/2023 15:11:38
0.08,16/09/2023 15:11:39
0.08,16/09/2023 15:11:39
